usertype,start_station_name,end_station_name,route,num_of_trips,duration
Subscriber,E 85 St & York Ave,E 85 St & 3 Ave,E 85 St & York Ave to E 85 St & 3 Ave,7234,3.86
Subscriber,W 21 St & 6 Ave,W 20 St & 8 Ave,W 21 St & 6 Ave to W 20 St & 8 Ave,7155,4.8
Subscriber,Broadway & Battery Pl,South End Ave & Liberty St,Broadway & Battery Pl to South End Ave & Liberty St,7147,6.81
Subscriber,S 3 St & Bedford Ave,N 6 St & Bedford Ave,S 3 St & Bedford Ave to N 6 St & Bedford Ave,7122,3.82
Subscriber,Bedford Ave & Nassau Ave,N 8 St & Driggs Ave,Bedford Ave & Nassau Ave to N 8 St & Driggs Ave,7120,4.48
Subscriber,Broadway & E 22 St,Pershing Square North,Broadway & E 22 St to Pershing Square North,7094,9.87
Subscriber,E 47 St & Park Ave,W 33 St & 7 Ave,E 47 St & Park Ave to W 33 St & 7 Ave,7094,10.84
Subscriber,Carmine St & 6 Ave,Barrow St & Hudson St,Carmine St & 6 Ave to Barrow St & Hudson St,7094,4.71
Subscriber,Carmine St & 6 Ave,W 21 St & 6 Ave,Carmine St & 6 Ave to W 21 St & 6 Ave,7068,7.98
Subscriber,12 Ave & W 40 St,12 Ave & W 40 St,12 Ave & W 40 St to 12 Ave & W 40 St,7054,27.22
Subscriber,8 Ave & W 33 St,Pershing Square North,8 Ave & W 33 St to Pershing Square North,7011,9.47
Subscriber,Grand Army Plaza & Central Park S,Broadway & W 60 St,Grand Army Plaza & Central Park S to Broadway & W 60 St,7007,11.49
Customer,Central Park S & 6 Ave,5 Ave & E 73 St,Central Park S & 6 Ave to 5 Ave & E 73 St,6986,26.47
Subscriber,Broadway & W 60 St,Broadway & W 60 St,Broadway & W 60 St to Broadway & W 60 St,6947,32.12
Subscriber,E 11 St & 2 Ave,Broadway & E 14 St,E 11 St & 2 Ave to Broadway & E 14 St,6944,4.68
Subscriber,9 Ave & W 45 St,8 Ave & W 33 St,9 Ave & W 45 St to 8 Ave & W 33 St,6925,6.93
Subscriber,Greenwich St & N Moore St,Vesey Pl & River Terrace,Greenwich St & N Moore St to Vesey Pl & River Terrace,6924,6.15
Subscriber,E 11 St & 1 Ave,Broadway & E 14 St,E 11 St & 1 Ave to Broadway & E 14 St,6920,6.03
Subscriber,W 26 St & 8 Ave,W 26 St & 10 Ave,W 26 St & 8 Ave to W 26 St & 10 Ave,6919,5.51
Subscriber,E 33 St & 2 Ave,W 33 St & 7 Ave,E 33 St & 2 Ave to W 33 St & 7 Ave,6878,10.17
Subscriber,Greenwich St & Warren St,Centre St & Chambers St,Greenwich St & Warren St to Centre St & Chambers St,6861,5.28
Subscriber,Sullivan St & Washington Sq,University Pl & E 14 St,Sullivan St & Washington Sq to University Pl & E 14 St,6852,5.61
Subscriber,Greenwich Ave & 8 Ave,W 22 St & 8 Ave,Greenwich Ave & 8 Ave to W 22 St & 8 Ave,6848,5.12
Subscriber,W 33 St & 7 Ave,Pershing Square North,W 33 St & 7 Ave to Pershing Square North,6842,8.62
Customer,West St & Chambers St,12 Ave & W 40 St,West St & Chambers St to 12 Ave & W 40 St,6836,25.99
Subscriber,St Marks Pl & 1 Ave,Lafayette St & E 8 St,St Marks Pl & 1 Ave to Lafayette St & E 8 St,6827,4.3
Subscriber,Pershing Square North,E 32 St & Park Ave,Pershing Square North to E 32 St & Park Ave,6804,5.8
Subscriber,W 20 St & 8 Ave,8 Ave & W 31 St,W 20 St & 8 Ave to 8 Ave & W 31 St,6781,6.02
Subscriber,Greenwich Ave & 8 Ave,University Pl & E 14 St,Greenwich Ave & 8 Ave to University Pl & E 14 St,6738,6.92
Subscriber,8 Ave & W 33 St,11 Ave & W 41 St,8 Ave & W 33 St to 11 Ave & W 41 St,6736,7.93
Subscriber,1 Ave & E 62 St,1 Ave & E 68 St,1 Ave & E 62 St to 1 Ave & E 68 St,6727,3.65
Subscriber,E 32 St & Park Ave,Pershing Square North,E 32 St & Park Ave to Pershing Square North,6725,5.25
Subscriber,W 22 St & 8 Ave,8 Ave & W 31 St,W 22 St & 8 Ave to 8 Ave & W 31 St,6720,5.21
Subscriber,University Pl & E 14 St,W 13 St & 7 Ave,University Pl & E 14 St to W 13 St & 7 Ave,6717,4.61
Subscriber,W 18 St & 6 Ave,E 17 St & Broadway,W 18 St & 6 Ave to E 17 St & Broadway,6713,4.52
Subscriber,Broadway & E 14 St,Lafayette St & E 8 St,Broadway & E 14 St to Lafayette St & E 8 St,6701,4.76
Subscriber,W 24 St & 7 Ave,W 22 St & 10 Ave,W 24 St & 7 Ave to W 22 St & 10 Ave,6666,6.64
Subscriber,McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St to Vernon Blvd & 50 Ave,6664,6.01
Subscriber,South End Ave & Liberty St,Bus Slip & State St,South End Ave & Liberty St to Bus Slip & State St,6632,7.94
Subscriber,W 31 St & 7 Ave,E 24 St & Park Ave S,W 31 St & 7 Ave to E 24 St & Park Ave S,6610,7.06
Subscriber,Christopher St & Greenwich St,Greenwich Ave & 8 Ave,Christopher St & Greenwich St to Greenwich Ave & 8 Ave,6604,5.44
Subscriber,E 9 St & Avenue C,Lafayette St & E 8 St,E 9 St & Avenue C to Lafayette St & E 8 St,6603,8.12
Subscriber,E 27 St & 1 Ave,W 31 St & 7 Ave,E 27 St & 1 Ave to W 31 St & 7 Ave,6600,10.39
Subscriber,8 Ave & W 31 St,9 Ave & W 18 St,8 Ave & W 31 St to 9 Ave & W 18 St,6590,7.27
Subscriber,Washington Park,DeKalb Ave & Hudson Ave,Washington Park to DeKalb Ave & Hudson Ave,6580,5.37
Subscriber,W 21 St & 6 Ave,8 Ave & W 31 St,W 21 St & 6 Ave to 8 Ave & W 31 St,6553,8.9
Subscriber,E 32 St & Park Ave,E 33 St & 2 Ave,E 32 St & Park Ave to E 33 St & 2 Ave,6551,4.34
Subscriber,W 41 St & 8 Ave,11 Ave & W 41 St,W 41 St & 8 Ave to 11 Ave & W 41 St,6544,5.82
Customer,Broadway & W 58 St,Broadway & W 58 St,Broadway & W 58 St to Broadway & W 58 St,6542,51.15
Subscriber,Lexington Ave & E 24 St,W 31 St & 7 Ave,Lexington Ave & E 24 St to W 31 St & 7 Ave,6537,8.49
Customer,Old Fulton St,Old Fulton St,Old Fulton St to Old Fulton St,6504,31.42
Customer,12 Ave & W 40 St,12 Ave & W 40 St,12 Ave & W 40 St to 12 Ave & W 40 St,6445,34.62
